date,city,temperature_c,humidity_percent,electricity_units_kwh,household_size,income_level,power_outage_hours
2022-01-01,Peshawar,26.9,88,26.65,3,Low,3.32
2022-01-02,Quetta,31.4,85,25.32,3,High,1.26
2022-01-03,Islamabad,37.5,51,23.4,7,Low,2.51
2022-01-04,Quetta,22.8,65,20.51,4,High,2.47
2022-01-05,Quetta,30.9,63,29.2,7,Middle,0.32
2022-01-06,Lahore,25.1,59,22.84,5,Middle,0.18
2022-01-07,Islamabad,38.4,54,10.2,2,Low,1.92
2022-01-08,Islamabad,19.3,74,15.3,4,Middle,0.26
2022-01-09,Islamabad,26.1,57,20.88,6,Middle,2.85
2022-01-10,Quetta,32.6,30,23.86,8,Low,1.94
2022-01-11,Peshawar,41.0,78,21.66,5,Middle,2.77
2022-01-12,Islamabad,29.5,74,29.31,4,Low,0.53
2022-01-13,Quetta,26.1,33,10.29,8,High,0.57
2022-01-14,Lahore,43.2,36,22.86,8,High,1.67
2022-01-15,Peshawar,19.9,78,11.09,2,High,0.05
2022-01-16,Lahore,14.6,38,26.56,3,Low,1.94
2022-01-17,Peshawar,33.1,65,21.43,6,Low,2.71
2022-01-18,Quetta,26.5,48,24.52,7,Middle,0.8
2022-01-19,Karachi,22.9,30,16.82,2,Middle,2.17
2022-01-20,Peshawar,35.0,39,29.68,5,Middle,0.29
2022-01-21,Lahore,31.7,65,28.25,8,Middle,0.58
2022-01-22,Quetta,26.1,38,25.5,5,Middle,5.49
2022-01-23,Peshawar,21.0,74,21.22,8,Low,6.44
2022-01-24,Karachi,36.1,75,25.48,3,Low,1.08
2022-01-25,Karachi,34.6,71,17.76,3,High,4.08
2022-01-26,Islamabad,29.3,61,27.13,6,High,1.11
2022-01-27,Islamabad,42.9,61,31.9,7,High,0.52
2022-01-28,Lahore,22.5,35,28.42,6,High,0.47
2022-01-29,Peshawar,19.3,77,17.62,3,Low,3.98
2022-01-30,Peshawar,25.2,67,24.17,3,Low,0.28
2022-01-31,Islamabad,29.7,46,14.24,5,Low,1.3
2022-02-01,Peshawar,31.7,39,25.43,3,Middle,1.22
